file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,serverity
156676,d252125,,21.5,0,0,0,36,4.5,0,42.5,365,0.8068182,0.05110337,0.17886178,24,0,11,2,11,0,0,2,0.5,0,4,0,0,3.5,0.5,0,0,0,0,338,11.5,1,6,0,1.5,2.5,3,18,0,14,2.5,3,3,0,131.5,513,0,enhancement
161037,e90511b,,57,0,0,0,86,12,0,113,1111,0.9481794,0.048364155,0.21906117,51,0,13,13,25,0,0,9,0,0,28,5,0,28,0,0,5,0,0,1024,14,2,22,2,2,9,25,102,1,65,3,10,16,0,286,1025,0,normal
159918,583e71a,,31,0,0,0,132,2,0,89,1353,0.93090904,0.03755102,0.03755102,55,0,20,5,30,0,0,0,0,0,5,1,0,5,0,0,1,0,0,539,53,9,22,0,30,1,27,66,5,57,3,6,0,0,314,1,0,normal
158778,c72717a,,24.666666,0,0,0,188,2.6666667,0,84.333336,2461.3333,0.9254922,0.0271905,0.08531682,58,0,18.666666,9,30,0.33333334,0,4.6666665,0,0,3.6666667,1,0.33333334,3.3333333,0,0,1,0,0.6666667,684.6667,51.666668,22,51,0.33333334,13.333333,2.6666667,57.333332,140,8.666667,118.666664,3,4.3333335,0.6666667,0,302.66666,342.33334,0,enhancement
156678,d198555,,7.5,0,0,0,4.5,3,0,8,0.5,0.75,NaN,NaN,1.5,0,1,0.5,0,0,0,0,0,0,4.5,4,3.5,1,0,0,0.5,0,0,173.5,1,0.5,1,0,1,0.5,1.5,5,0,8.5,1,0,2,0,32.5,1,0,normal
159600,1eab90f,,4,0,0,0,3,1,0,4,0,0.5833334,1,1,3,0,2,0,0,1,0,0,0,0,4,2,0,4,0,0,2,0,0,123,0,0,0,0,0,0,2,4,0,4,0,0,2,0,69,0,0,normal
159597,4adbdc8,,30,0,0,0,152,2,0,102,916,0.8113207,0.13953489,0.28017718,53,0,28,10,15,0,0,0,0,0,4,0,0,4,0,0,0,0,5,660,33,20,43,1,7,2,50,117,7,94,5,3,1,0,379,1,0,normal
161086,9b73a19,,30,0,0,0,418,3,0,144,6051,0.957958,0.006741573,0.010486892,111,0,31,21,58,1,0,14,0,0,3,1,1,2,0,0,1,0,2,1456,99,57,130,0,10,1,132,342,20,289,5,8,1,0,524,1025,0,normal
157646,e415216,,22.5,0,0,0,50,2,0,67.5,175.5,0.7997154,0.10228758,0.45947713,18,0,9,6.5,2.5,0,0,0,0,0,9.5,3,0,9.5,0,0,2,0,0,384,15.5,3,10.5,2.5,0.5,4.5,15.5,52,0.5,41.5,2,9,0.5,0,192.5,1,0,normal
160543,9bfe7e7,,36,0,0,0,133,2,0,118,1434,0.95392174,0.10676533,0.46088794,60,1,40,16,4,0,0,0,0,0,34,11,6,25,0,3,11,0,1,639,44,8,38,0,6,10,31,130,1,107,4,7,1,0,354,1,0,normal
160746,aee6d98,,19,0,0,0,52.42857,2.4285715,0,41.285713,157.28572,0.7744261,0.35288218,3.2192984,15.714286,6.428571,10.142858,2.857143,2.142857,0.5714286,0,0,1.1428572,0,7.571429,2.7142856,1.8571428,5.428571,0.14285715,0.14285715,2.7142856,0,7.571429,248.42857,18.571428,3.142857,20.857143,1.1428572,7.714286,5.428571,13.285714,38.857143,3,28.285715,2.5714285,2,1.5714285,0,178.28572,154.14285,0,normal
111887,be19b74,,9.75,0,0,0,23.75,1.25,0,19.25,81,NaN,NaN,NaN,9.25,6.25,8.5,0.75,0,0,0,0,0,0,146.5,146,145.5,1,0,0,1,0,4,253.75,12.25,0.75,7.5,1.25,0.5,1.5,2.5,16.25,0,156.5,1,0.5,0.75,0,213.5,5,0,enhancement
160153,471f5c5,,16.333334,0,0,0,63.666668,2.3333333,0,47.666668,395,0.79761416,0.11794021,0.4944629,28,0,18,3.6666667,6.3333335,0,0,0,0,0,2.3333333,0,0,1.6666666,0,0.6666667,0,0,3,265.66666,12.666667,7.3333335,15.333333,0.33333334,4,4.3333335,22.666666,48.666668,5,38.333332,2.3333333,1.3333334,0.33333334,0,178.66667,1,0,normal
160700,da94c20,,13,0,0,0,19,2,0,15,85,0.8571428,0.032967035,0.032967035,14,0,8,0,4,2,0,4,0,0,2,0,0,2,0,0,0,0,0,74,9,0,5,0,0,0,1,7,0,6,1,1,0,0,119,1024,0,normal
160720,b78f2dc,,1,0,0,0,3,1,0,3,0,1,NaN,NaN,1,1,0,1,0,0,0,0,0,0,3,3,3,0,0,0,1,0,3,14,1,0,0,0,0,4,0,5,1,3,1,0,0,0,24,1,0,normal
91449,266b820,,39,0,0,0,139,2,0,114,695,0.9296967,0.10822511,0.2857143,50,1,21,28,0,1,0,0,0,0,33,7,0,33,0,0,7,0,9,826,40,5,62,0,12,2,38,119,6,98,2,14,1,0,326,1,0,normal
160659,62f983c,,64,0,0,0,171,2,0,195,1566,0.9453125,0.05388471,0.18859649,64,0,25,7,30,2,0,0,0,0,28,13,1,27,0,0,13,0,4,829,39,10,57,2,9,24,25,168,0,146,4,11,0,0,384,1,0,normal
160545,072103f,,7,0,0,0,12,1,0,0,66,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0,normal
159190,b8b9555,,31,0,0,0,130,2,0,88,1299,0.9166667,0.039115645,0.039115645,54,0,19,5,30,0,0,0,0,0,4,0,0,4,0,0,0,0,0,505,53,9,21,0,30,0,27,65,4,56,3,5,0,0,303,1,0,normal
93611,70f8155,,10,0,0,0,4,2,0,7,6,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,2,6,13,0,9,0,0,0,0,38,1,0,major
157495,68c41e3,,19.5625,0,0,0,35.1875,2.25,0,44,171.3125,0.5555463,NaN,NaN,15.4375,0,5.125,2.625,6.0625,1.625,0,0.25,0.25,0,7.625,2.0625,0.3125,6.8125,0.125,0.375,1.875,0,0.9375,222.0625,8.5,2.625,8.4375,0.125,1.5625,3.0625,10.125,40.625,1.0625,31.625,1.6875,2.6875,0.6875,0,148.3125,129,0,normal
157604,d41d6f3,,8.666667,0,0,0,14,1.6666666,0,15.166667,24.5,0.3146605,0.23015875,1.4000001,6.3333335,0,2.8333333,1.1666666,2.3333333,0,0,0,0,0,2.3333333,0.33333334,0.16666667,2,0,0.16666667,0.33333334,0,2.1666667,111,3.1666667,1,1,1.8333334,0.5,12.333333,6.8333335,21.333334,1.1666666,16.5,1.6666666,3.6666667,0,0,67.5,1,0,normal
